date,region,product_category,channel,media_spend,promotion_depth,weather_index,seasonality,competitor_pressure,store_execution_score,inventory_availability,pricing_change,unit_sales,revenue,margin
2022-01-02,Southeast,Energy,Grocery,41161.15,23.65,67.32,1.0,82.0,90.28,88.73,7.01,61717,138687.91,37679.91
2022-01-02,Southeast,Sparkling,Club,60589.19,0.53,85.68,1.0,25.51,84.91,89.81,3.35,68899,149539.59,64838.33
2022-01-02,Northeast,Still,Dollar,21732.43,22.71,62.54,1.0,35.43,70.02,92.93,-1.83,33934,69956.95,21350.42
2022-01-02,Midwest,Still,Foodservice,27767.65,27.18,64.61,1.0,36.26,78.41,88.51,1.48,30415,64817.71,19009.79
2022-01-02,West,Tea,Dollar,59100.75,16.64,79.71,1.0,53.24,85.62,92.74,1.7,43098,92043.04,30406.47
2022-01-02,West,Energy,Grocery,23321.66,19.72,49.22,1.0,60.83,86.16,87.23,-1.26,59406,123174.96,37999.59
2022-01-02,Midwest,Energy,Dollar,30806.44,18.68,75.16,1.0,37.5,93.32,93.67,-2.98,57905,117978.11,40952.25
2022-01-02,Northeast,Sparkling,Convenience,46089.89,20.52,51.9,1.0,47.55,85.01,87.12,0.63,46142,97508.97,31042.73
2022-01-02,Northeast,Sparkling,Convenience,16690.3,17.74,65.54,1.0,19.72,67.92,89.79,7.19,55579,125101.13,42898.16
2022-01-02,Southwest,Sparkling,Club,27720.03,19.23,57.08,1.0,60.06,93.02,89.43,4.9,59649,131401.42,41941.61
2022-01-02,West,Energy,Dollar,38664.6,33.41,71.86,1.0,57.78,69.32,88.59,-4.02,55309,111481.99,25744.95
2022-01-02,Southwest,Energy,Foodservice,63647.14,14.9,79.16,1.0,57.74,78.63,88.05,11.26,63871,149229.77,48568.63
2022-01-02,Southeast,Still,Club,14559.41,23.49,56.38,1.0,37.22,88.73,92.7,-4.0,43142,86970.45,27871.48
2022-01-02,Southwest,Juice,Foodservice,36154.04,1.96,66.38,1.0,66.18,95.07,90.8,1.78,35068,74950.59,29470.98
2022-01-02,West,Energy,Convenience,6508.61,17.35,45.31,1.0,76.79,84.11,78.16,3.27,53588,116208.07,34779.28
2022-01-02,Southwest,Tea,Grocery,15806.05,24.64,65.96,1.0,49.71,79.86,94.43,2.53,35522,76485.47,22295.5
2022-01-02,Northeast,Energy,Convenience,29064.39,19.27,87.28,1.0,46.97,86.28,81.21,2.75,45918,99082.25,32308.93
2022-01-02,Southeast,Still,Convenience,25111.75,20.03,72.43,1.0,72.58,91.01,100.0,2.99,42309,91508.51,27401.43
2022-01-02,Southeast,Tea,Club,22910.36,18.85,48.58,1.0,39.17,92.19,96.97,2.01,32113,68790.54,23611.4
2022-01-02,Northeast,Still,Club,51969.26,18.99,44.42,1.0,74.03,78.13,90.16,5.22,45082,99618.71,28712.71
2022-01-02,West,Sparkling,Foodservice,17332.77,3.12,85.05,1.0,55.39,76.48,100.0,2.53,61867,133208.8,50518.3
2022-01-02,Southwest,Energy,Club,53357.61,17.81,91.82,1.0,47.04,96.39,89.26,-7.96,54643,105616.35,36321.07
2022-01-02,West,Tea,Grocery,49595.55,10.11,85.03,1.0,50.4,65.37,97.07,0.62,40078,84687.97,28850.46
2022-01-02,Southwest,Energy,Club,33376.43,11.5,83.63,1.0,64.63,83.02,86.47,5.01,59764,131787.01,44568.01
2022-01-02,Midwest,Juice,Club,41407.07,12.07,74.61,1.0,59.72,88.59,100.0,0.67,31915,67473.76,23428.71
2022-01-02,Southwest,Tea,Grocery,67638.93,30.99,73.88,1.0,49.39,75.34,93.49,0.77,34816,73675.92,19005.84
2022-01-02,Northeast,Juice,Convenience,21591.62,21.21,54.69,1.0,61.89,100.0,96.75,2.11,30364,65107.12,20568.68
2022-01-02,Southwest,Tea,Dollar,23522.2,20.65,65.08,1.0,49.9,86.12,100.0,2.61,23107,49792.48,15753.05
2022-01-02,Northeast,Juice,Foodservice,18411.45,7.73,82.37,1.0,43.8,80.74,85.4,-1.69,36079,74485.27,27998.2
2022-01-02,Northeast,Energy,Foodservice,21229.17,10.79,74.83,1.0,52.16,87.08,99.92,2.29,62919,135149.58,48620.47
2022-01-02,Southeast,Still,Club,26840.68,4.13,77.05,1.0,90.82,88.11,99.0,2.82,43672,94298.25,32835.43
2022-01-02,Southwest,Still,Dollar,41812.3,12.16,75.32,1.0,49.51,81.43,96.8,-3.75,35444,71638.77,25085.63
2022-01-02,Southeast,Energy,Foodservice,12634.01,12.69,82.88,1.0,86.69,87.12,89.54,-0.97,65841,136920.4,42826.11
2022-01-02,Midwest,Energy,Convenience,25067.62,31.98,75.7,1.0,33.52,75.76,91.75,6.93,47153,105885.4,28757.23
2022-01-02,Northeast,Tea,Dollar,26729.56,18.14,73.84,1.0,77.55,100.0,87.7,-0.76,36389,75836.38,23697.13
2022-01-02,Southwest,Energy,Convenience,8846.92,11.59,79.34,1.0,69.66,81.99,88.87,-5.22,54815,109097.68,36112.1
2022-01-02,Southwest,Sparkling,Grocery,25874.15,5.95,70.36,1.0,51.67,87.38,96.28,-9.57,50385,95685.8,36611.35
2022-01-09,Southeast,Still,Dollar,22190.25,12.01,92.37,1.0217,61.9,89.8,93.57,2.96,49646,107339.01,37183.9
2022-01-09,Northeast,Juice,Foodservice,22434.15,10.36,88.36,1.0217,51.04,86.4,98.74,4.18,49923,109215.0,39559.26
2022-01-09,Southwest,Energy,Club,38508.01,15.3,74.46,1.0217,48.26,65.84,90.56,0.47,43895,92618.09,29636.2
2022-01-09,Southwest,Tea,Club,49305.16,23.98,75.95,1.0217,68.82,81.68,72.5,4.24,52851,115689.08,31846.94
2022-01-09,Northeast,Juice,Convenience,21182.62,16.94,88.99,1.0217,25.68,72.37,91.42,4.35,28385,62200.83,21451.44
2022-01-09,Southeast,Tea,Convenience,45837.18,11.37,72.97,1.0217,48.49,91.38,97.81,1.74,56823,121400.42,44428.57
2022-01-09,Midwest,Tea,Foodservice,38143.81,23.68,73.1,1.0217,81.55,96.41,90.26,-2.69,48858,99844.55,27844.85
2022-01-09,Southeast,Energy,Foodservice,21826.11,18.61,82.01,1.0217,51.59,66.49,81.11,8.2,47446,107808.38,32552.28
2022-01-09,West,Still,Grocery,72264.24,9.62,42.94,1.0217,25.5,87.5,87.88,1.82,39934,85385.79,33739.89
2022-01-09,Southwest,Sparkling,Convenience,24251.11,27.96,91.74,1.0217,49.31,88.87,93.96,4.27,44434,97294.54,27912.94
2022-01-09,Southeast,Tea,Club,13940.94,24.74,60.18,1.0217,43.97,70.88,90.69,4.09,47698,104264.59,29973.03
2022-01-09,Northeast,Still,Foodservice,32226.46,24.16,55.84,1.0217,25.76,96.92,82.91,1.34,50695,107883.5,36600.47
2022-01-09,Northeast,Juice,Convenience,38510.8,21.12,57.38,1.0217,45.43,89.1,99.32,0.87,39418,83495.34,26929.73
2022-01-09,West,Energy,Dollar,12847.14,12.57,84.04,1.0217,33.27,82.75,88.85,4.03,51310,112095.74,41232.82
2022-01-09,Southeast,Energy,Dollar,21884.85,15.25,66.36,1.0217,66.09,85.59,89.99,-3.56,68551,138838.65,44751.98
2022-01-09,West,Sparkling,Foodservice,42030.73,27.77,66.35,1.0217,12.06,87.8,86.72,4.2,62604,136983.32,44918.23
2022-01-09,Northeast,Energy,Dollar,46097.21,8.19,63.62,1.0217,31.28,83.42,100.0,5.91,62414,138809.22,54235.26
2022-01-09,West,Juice,Dollar,17750.99,11.41,60.91,1.0217,55.63,65.96,79.66,-0.4,41321,86424.47,28487.46
2022-01-09,Northeast,Sparkling,Dollar,33867.32,24.16,53.73,1.0217,51.44,97.88,80.48,-1.19,54916,113952.32,35526.33
2022-01-09,Southwest,Juice,Foodservice,34973.82,14.13,57.23,1.0217,11.18,77.11,99.22,-0.26,32741,68579.6,25992.9
2022-01-09,Midwest,Sparkling,Foodservice,30685.48,31.27,82.25,1.0217,23.33,79.45,83.74,5.83,51419,114272.21,33164.82
2022-01-09,Northeast,Energy,Club,15643.95,17.67,77.27,1.0217,10.49,88.79,84.2,-0.68,62389,130130.29,49014.19
2022-01-09,Southwest,Tea,Dollar,22761.36,3.61,102.74,1.0217,61.66,74.71,97.65,-0.39,36168,75658.67,27849.51
2022-01-09,Southwest,Sparkling,Grocery,45446.82,8.69,92.94,1.0217,48.65,93.07,87.71,4.17,50728,110970.33,42153.26
2022-01-09,Southwest,Tea,Dollar,19851.42,10.93,91.21,1.0217,61.49,99.91,91.03,-1.21,33669,69849.94,25354.96
2022-01-09,Northeast,Energy,Convenience,65502.32,26.03,61.9,1.0217,73.28,53.52,78.52,1.47,56864,121168.9,27834.38
2022-01-09,Southwest,Juice,Dollar,24903.86,35.46,96.96,1.0217,68.09,72.13,83.17,-0.18,30248,63403.83,13525.48
2022-01-09,Midwest,Sparkling,Grocery,29144.36,5.45,74.63,1.0217,36.15,82.66,98.3,-4.56,55616,111468.16,44242.55
2022-01-09,Southeast,Energy,Foodservice,26403.46,22.76,58.96,1.0217,65.96,71.65,95.42,6.66,57443,128659.9,35108.2
2022-01-09,Midwest,Tea,Club,10511.7,24.51,67.73,1.0217,36.07,100.0,100.0,0.72,29557,62516.29,20606.29
2022-01-09,Northeast,Sparkling,Foodservice,39900.56,9.69,59.47,1.0217,20.29,83.52,98.81,-1.19,53169,110329.33,43712.07
2022-01-09,West,Energy,Convenience,20353.2,11.31,62.87,1.0217,60.86,86.49,96.49,1.51,64733,137986.0,47886.98
2022-01-09,West,Sparkling,Club,42900.5,16.06,84.09,1.0217,27.14,97.74,94.71,3.04,46838,101345.79,38049.92
2022-01-09,West,Tea,Dollar,46580.05,14.85,77.05,1.0217,37.59,76.69,97.37,-8.31,46751,90016.55,31139.1
2022-01-09,Southeast,Tea,Grocery,9020.67,13.64,68.65,1.0217,63.01,100.0,100.0,-4.44,31343,62898.33,21956.25
2022-01-09,Southwest,Still,Club,17249.75,21.92,62.69,1.0217,51.69,66.85,84.39,-1.34,50905,105469.34,30290.12
2022-01-09,Southeast,Sparkling,Convenience,35810.2,20.62,58.72,1.0217,47.78,89.59,95.66,9.65,62570,144073.56,46496.52
2022-01-09,Midwest,Still,Dollar,36462.7,21.66,74.11,1.0217,59.89,98.39,92.55,-2.55,44656,91391.3,28725.24
2022-01-09,West,Energy,Club,19009.24,24.36,61.52,1.0217,53.61,78.21,97.4,0.64,57276,121049.3,34695.53
2022-01-09,Northeast,Juice,Club,34997.64,11.18,71.44,1.0217,54.3,80.53,84.81,5.56,20816,46144.17,16073.84
2022-01-09,Northeast,Juice,Dollar,11725.54,13.82,71.78,1.0217,63.62,85.28,74.62,-2.41,45215,92666.16,30694.61
2022-01-09,West,Tea,Dollar,28123.59,16.94,81.82,1.0217,46.74,84.81,100.0,6.15,47700,106330.58,35651.46
2022-01-09,Southwest,Energy,Dollar,27632.8,25.15,78.2,1.0217,49.63,92.31,91.96,3.26,51264,111165.04,33693.31
2022-01-09,West,Energy,Convenience,54607.32,25.08,87.65,1.0217,18.62,97.12,94.66,2.64,70282,151494.82,51995.37
2022-01-09,Southeast,Energy,Club,17692.4,13.9,77.86,1.0217,72.2,82.88,90.88,4.92,86074,189641.5,60436.14
2022-01-09,Midwest,Energy,Grocery,24918.93,26.58,58.51,1.0217,46.12,92.46,95.45,-4.41,59107,118654.85,35678.7
2022-01-09,Southeast,Sparkling,Foodservice,35640.98,25.65,80.66,1.0217,54.19,96.25,75.84,-3.8,59596,120396.85,36133.03
2022-01-09,Southwest,Juice,Foodservice,28626.46,28.2,90.57,1.0217,46.14,92.93,86.12,1.08,45964,97562.89,28663.48
2022-01-09,West,Still,Convenience,43837.77,14.39,87.76,1.0217,28.57,100.0,88.46,1.2,46140,98061.09,37652.97
2022-01-09,Northeast,Still,Grocery,23818.04,20.65,62.84,1.0217,41.61,75.94,100.0,-3.74,53694,108535.2,34109.95
2022-01-09,Southeast,Juice,Convenience,36998.22,33.84,101.08,1.0217,39.11,90.63,96.13,-6.46,34793,68345.73,18688.41
2022-01-09,Northeast,Energy,Club,24397.61,35.87,55.97,1.0217,43.95,90.05,88.17,5.94,62039,138025.56,35634.47
2022-01-09,Midwest,Still,Convenience,26513.8,22.04,64.12,1.0217,42.36,77.71,87.3,2.11,44627,95694.91,29577.12
2022-01-09,Southwest,Still,Convenience,47884.14,18.54,55.29,1.0217,31.93,96.11,87.88,2.67,43445,93666.33,33443.97
2022-01-09,West,Still,Foodservice,31286.03,21.48,85.08,1.0217,45.56,76.27,79.69,5.8,44841,99629.03,30534.67
2022-01-09,Northeast,Sparkling,Club,36878.01,14.19,83.94,1.0217,14.89,64.85,86.15,1.36,55512,118156.39,42657.85
2022-01-09,Northeast,Tea,Dollar,48714.58,20.8,67.52,1.0217,36.76,72.83,90.84,-5.47,40482,80360.3,25357.55
2022-01-09,Midwest,Still,Grocery,29816.94,18.25,55.44,1.0217,33.17,74.72,94.84,2.38,25945,55777.93,18585.43
2022-01-09,Northeast,Juice,Convenience,32221.43,21.77,40.06,1.0217,64.95,73.7,92.03,-3.49,30295,61396.09,17237.03
2022-01-09,Midwest,Energy,Dollar,32607.12,20.96,66.68,1.0217,39.68,81.3,91.26,5.76,56111,124620.91,40000.21
2022-01-09,Southeast,Juice,Club,38618.56,12.29,60.51,1.0217,40.81,81.97,92.69,2.31,41066,88233.97,31752.97
2022-01-09,Midwest,Tea,Club,30985.05,6.89,73.02,1.0217,27.47,72.53,93.07,3.83,38711,84408.45,32813.56
2022-01-09,Southeast,Still,Grocery,40712.0,26.37,76.68,1.0217,41.1,87.03,96.99,8.97,55540,127094.49,38274.73
2022-01-09,West,Juice,Club,32967.88,12.71,65.17,1.0217,62.89,66.57,100.0,1.65,44689,95396.05,30175.58
2022-01-09,Southeast,Tea,Convenience,23726.6,11.57,76.67,1.0217,21.32,71.47,97.97,-1.56,33065,68354.07,25505.04
2022-01-09,Midwest,Tea,Grocery,27751.66,28.88,79.78,1.0217,57.7,78.85,92.01,-3.37,19817,40215.12,10545.65
2022-01-09,Southwest,Tea,Club,13828.84,12.93,62.14,1.0217,23.07,82.97,92.71,2.09,39733,85185.22,32182.86
2022-01-16,West,Still,Dollar,17204.87,27.67,77.12,1.0431,56.93,72.3,100.0,-0.45,56188,117463.46,30694.48
2022-01-16,West,Sparkling,Foodservice,32892.94,11.62,94.4,1.0431,47.67,80.79,75.55,2.54,63836,137458.43,48656.08
2022-01-16,West,Sparkling,Club,24653.47,34.92,58.3,1.0431,51.82,81.13,96.84,0.82,57085,120857.15,29466.65
2022-01-16,Midwest,Juice,Foodservice,28680.9,20.81,54.7,1.0431,67.45,76.15,95.94,4.26,24953,54635.03,15574.4
2022-01-16,Northeast,Still,Grocery,23730.51,17.37,85.44,1.0431,64.87,84.54,96.31,-0.01,46129,96862.39,30308.55
2022-01-16,Northeast,Tea,Club,44764.49,14.97,56.07,1.0431,44.25,84.59,91.39,9.53,40609,93409.09,32390.28
2022-01-16,Northeast,Still,Foodservice,28516.24,11.32,65.2,1.0431,55.08,74.08,92.39,4.53,46284,101595.97,34506.85
2022-01-16,Southwest,Juice,Convenience,36757.04,33.27,62.67,1.0431,65.92,81.07,94.67,0.14,36978,77765.7,18322.99
2022-01-16,Southeast,Energy,Club,29197.37,26.09,66.42,1.0431,57.93,61.57,93.44,4.96,64865,142980.06,36520.9
2022-01-16,West,Tea,Grocery,30728.81,32.4,69.3,1.0431,51.88,72.45,87.97,-10.0,47088,88995.39,21857.29
2022-01-16,Midwest,Juice,Grocery,19649.99,0.0,85.98,1.0431,78.91,81.84,86.57,-1.33,33130,68647.87,25623.51
2022-01-16,West,Juice,Convenience,21004.46,17.32,74.07,1.0431,81.26,90.18,99.56,-1.1,38329,79609.31,23977.72
2022-01-16,Southwest,Juice,Convenience,47850.89,17.62,78.76,1.0431,52.83,89.94,80.74,4.77,37116,81661.51,27042.63
2022-01-16,Southeast,Tea,Convenience,27132.18,16.44,64.73,1.0431,53.16,84.66,88.7,9.37,35385,81269.81,26839.48
2022-01-16,West,Juice,Convenience,10924.07,23.37,60.41,1.0431,64.17,71.51,88.46,7.13,34282,77123.59,20972.04
2022-01-16,Midwest,Juice,Foodservice,30196.56,9.61,64.54,1.0431,51.31,89.22,86.14,0.63,33190,70136.85,25840.0
2022-01-16,Midwest,Still,Foodservice,15262.31,19.0,53.64,1.0431,49.36,80.85,77.12,-0.59,43540,90893.29,28959.52
2022-01-16,Midwest,Energy,Convenience,38826.58,18.31,62.87,1.0431,34.57,84.66,94.37,7.08,62915,141473.72,48444.1
2022-01-16,West,Sparkling,Club,35528.73,4.31,79.92,1.0431,72.79,83.44,89.08,2.15,69963,150076.73,54362.36
2022-01-16,Northeast,Tea,Grocery,44298.62,16.41,43.82,1.0431,61.21,90.01,99.02,3.6,24788,53929.4,17658.23
2022-01-16,Midwest,Juice,Foodservice,45183.23,29.5,89.3,1.0431,20.02,85.89,95.52,3.04,36860,79755.22,24650.38
2022-01-16,West,Juice,Club,57901.5,29.56,76.61,1.0431,38.34,78.96,75.62,4.13,47714,104340.82,29294.82
2022-01-16,Midwest,Still,Grocery,66637.93,24.5,76.17,1.0431,53.0,88.64,94.19,3.64,39057,85006.85,25351.78
2022-01-16,West,Tea,Foodservice,36964.57,10.92,65.2,1.0431,45.29,68.34,93.16,-2.22,40891,83962.19,29047.01
2022-01-16,Southwest,Energy,Foodservice,88387.52,6.47,58.74,1.0431,60.31,73.89,100.0,0.96,56643,120095.17,42718.24
2022-01-16,Midwest,Still,Convenience,41391.79,23.53,76.8,1.0431,62.08,70.83,85.88,0.12,38201,80313.55,21906.44
2022-01-16,Southwest,Juice,Grocery,17661.31,21.96,75.93,1.0431,34.27,85.72,85.07,-3.94,33478,67530.99,22106.08
2022-01-16,Midwest,Tea,Dollar,13018.75,21.99,94.24,1.0431,39.49,79.02,91.21,3.72,34183,74458.7,23375.9
2022-01-16,West,Juice,Foodservice,20836.11,5.6,81.84,1.0431,32.38,83.75,96.27,-0.27,38205,80015.99,32136.89
2022-01-16,Midwest,Energy,Foodservice,37607.47,21.99,77.86,1.0431,23.44,75.34,93.74,-5.84,58109,114897.28,37652.93
2022-01-16,Midwest,Tea,Club,23685.77,23.78,98.17,1.0431,76.48,76.65,92.02,4.2,44525,97432.44,25539.8
2022-01-16,Northeast,Still,Convenience,54481.54,21.76,69.43,1.0431,49.9,81.69,97.11,1.61,46995,100279.48,30728.81
2022-01-16,Southeast,Tea,Club,28613.67,14.82,50.34,1.0431,44.83,92.58,98.04,0.69,51378,108632.27,38641.1
2022-01-16,Southeast,Juice,Club,48114.81,16.65,84.21,1.0431,49.23,78.2,88.02,4.24,35071,76768.4,25066.25
2022-01-16,Midwest,Juice,Grocery,19509.47,10.75,77.65,1.0431,69.63,86.14,91.57,-6.04,38234,75440.23,25611.06
2022-01-16,Northeast,Energy,Grocery,19900.86,17.97,73.49,1.0431,35.67,82.94,97.18,-5.25,54358,108158.42,36863.53
2022-01-16,Northeast,Still,Dollar,26851.16,20.2,67.46,1.0431,43.59,90.81,83.2,-0.5,53025,110789.79,36630.96
2022-01-16,Northeast,Tea,Grocery,40267.92,33.35,75.63,1.0431,0.0,64.04,100.0,-9.59,48900,92845.03,26886.29
2022-01-16,Northeast,Sparkling,Club,30529.98,15.93,85.01,1.0431,31.94,100.0,89.66,3.18,42094,91209.98,34041.54
2022-01-16,Southeast,Tea,Dollar,54301.85,12.89,71.22,1.0431,10.22,74.56,89.96,-0.39,43896,91820.94,35156.38
2022-01-16,West,Still,Club,38786.06,27.02,96.91,1.0431,24.75,75.85,87.99,0.03,41236,86617.21,26326.03
2022-01-16,West,Sparkling,Convenience,169506.37,27.18,72.11,1.0431,42.02,95.55,94.38,-2.6,56524,115610.8,35367.26
2022-01-16,West,Juice,Foodservice,28890.08,9.2,58.27,1.0431,45.21,80.88,95.72,5.53,42258,93648.64,34444.04
2022-01-16,Midwest,Juice,Convenience,17649.06,1.98,64.19,1.0431,67.1,80.65,96.89,-0.82,36270,75541.08,28406.22
2022-01-16,Southwest,Juice,Club,29285.0,13.97,74.22,1.0431,51.44,74.76,98.25,2.16,36617,78555.34,26110.94
2022-01-16,Northeast,Tea,Foodservice,69288.59,16.99,70.2,1.0431,31.39,87.98,89.99,2.07,36756,78785.07,28019.95
2022-01-16,Southeast,Tea,Dollar,56680.47,11.82,76.66,1.0431,46.58,82.51,90.7,7.84,39736,89983.89,32054.25
2022-01-16,Midwest,Tea,Dollar,69426.88,33.93,62.92,1.0431,83.09,73.54,95.42,4.98,41792,92136.8,18904.75
2022-01-16,West,Energy,Foodservice,13158.76,31.67,53.7,1.0431,77.37,74.9,81.89,0.63,59880,126540.19,28258.13
2022-01-16,Southwest,Sparkling,Foodservice,36891.07,12.34,73.62,1.0431,59.74,67.18,94.41,7.37,55415,124952.54,40256.95
2022-01-16,Southwest,Energy,Dollar,56993.81,18.68,82.88,1.0431,40.1,91.12,97.38,-3.22,60528,123010.07,42043.43
2022-01-16,Northeast,Still,Club,21464.35,22.35,78.49,1.0431,54.12,83.26,87.37,-4.2,41487,83460.16,25104.37
2022-01-16,Southwest,Energy,Foodservice,19026.63,26.9,81.89,1.0431,67.94,85.45,84.26,5.82,49748,110548.83,29534.84
2022-01-16,Southeast,Energy,Dollar,48333.13,21.81,61.65,1.0431,49.85,86.12,90.6,7.68,66628,150660.14,46877.18
2022-01-16,Southeast,Energy,Convenience,34439.83,10.43,94.17,1.0431,59.73,88.56,85.23,5.82,64718,143818.45,50999.4
2022-01-16,Southeast,Juice,Club,32681.8,10.95,83.44,1.0431,74.81,87.67,100.0,2.87,35308,76274.06,25513.94
2022-01-16,Northeast,Tea,Foodservice,48628.03,37.89,77.98,1.0431,54.23,79.57,96.77,1.48,44357,94526.86,21357.12
2022-01-16,Midwest,Tea,Dollar,60380.77,19.08,80.67,1.0431,18.13,87.49,96.35,-1.33,31780,65849.3,23727.08
2022-01-16,Southeast,Juice,Convenience,26722.75,31.43,42.91,1.0431,75.81,76.56,91.16,1.86,33830,72363.4,16498.08
2022-01-16,West,Tea,Dollar,19677.22,17.76,69.63,1.0431,76.99,76.23,100.0,8.06,39788,90291.63,26041.77
2022-01-16,West,Juice,Grocery,9968.78,9.75,52.09,1.0431,66.77,77.79,98.32,8.73,35147,80249.16,27119.51
2022-01-16,Southeast,Sparkling,Foodservice,19651.4,8.35,47.0,1.0431,85.51,81.06,92.7,4.16,56888,124440.69,40705.62
2022-01-16,Southwest,Juice,Club,19046.28,16.07,39.53,1.0431,32.0,93.34,90.13,-3.1,33836,68856.39,25140.6
2022-01-16,Midwest,Still,Convenience,32838.51,22.48,56.25,1.0431,57.31,80.08,100.0,4.24,45124,98779.58,28954.0
2022-01-16,Northeast,Energy,Club,15526.88,18.64,72.56,1.0431,42.91,87.52,90.95,-2.28,57750,118512.84,39683.61
